City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
272,fundao,40,BR,1541246400,69,-19.93,-40.4,82.4,3.36
273,bolshaya martynovka,20,RU,1541250496,51,47.27,41.67,56.66,13.69
274,severo-kurilsk,80,RU,1541250496,100,50.68,156.12,40.24,11.83
275,belmonte,0,PT,1541250497,88,40.36,-7.35,59.9,4.0
276,sucua,0,EC,1541250497,77,-2.46,-78.17,63.14,2.06
277,pisco,75,PE,1541246400,30,-13.71,-76.2,71.6,3.36
278,mariestad,0,SE,1541249400,61,58.71,13.82,48.2,13.87
279,kizukuri,20,JP,1541246400,76,40.81,140.39,50.0,11.41
280,mogadouro,0,PT,1541250498,63,41.34,-6.71,56.75,4.0
281,gasa,36,BT,1541250498,69,27.91,89.73,19.31,2.55
282,pijijiapan,44,MX,1541250498,100,15.69,-93.21,68.45,2.39
283,flin flon,90,CA,1541246400,63,54.77,-101.88,26.6,4.7
284,murgab,0,TM,1541246400,45,37.5,61.97,46.4,6.93
285,rudraprayag,92,IN,1541250500,94,30.29,78.98,49.1,1.72
286,tura,20,IN,1541250500,90,25.52,90.21,71.69,2.89
287,khonsa,12,IN,1541250501,94,26.99,95.51,63.14,1.61
288,tilichiki,88,RU,1541250501,90,60.47,166.1,12.25,4.12
289,isfana,44,KG,1541248200,75,39.84,69.53,41.0,6.71
290,portland,75,US,1541249580,89,45.52,-122.67,53.06,5.82
291,liverpool,90,GB,1541249400,76,53.41,-2.98,55.4,17.22
292,skjervoy,92,NO,1541250502,100,70.03,20.97,41.72,19.66
293,jinchang,36,CN,1541250502,79,38.52,102.19,28.27,2.73
294,alacranes,40,CU,1541248380,100,22.77,-81.57,73.4,3.36
295,bealanana,80,MG,1541250503,70,-14.54,48.75,72.37,1.21
296,namibe,0,AO,1541250503,100,-15.19,12.15,72.55,13.35
297,avera,1,US,1541248500,97,33.19,-82.53,46.04,3.36
298,lorengau,24,PG,1541250504,100,-2.02,147.27,82.94,9.44
299,niquero,0,CU,1541250504,100,20.04,-77.58,79.16,6.91
300,yar-sale,8,RU,1541250504,100,66.83,70.83,14.81,8.88
301,ulladulla,0,AU,1541250504,87,-35.36,150.48,65.12,13.91
302,kununurra,24,AU,1541248200,83,-15.77,128.74,77.0,4.7
303,piacabucu,32,BR,1541250505,62,-10.41,-36.43,84.25,11.45
304,harper,1,US,1541249700,75,30.3,-99.24,53.06,6.93
305,ketchikan,90,US,1541247060,92,55.34,-131.65,51.08,12.75
306,podgornoye,68,RU,1541250576,69,57.79,82.64,21.97,8.14
307,colombia,64,CO,1541250506,92,3.38,-74.8,66.25,0.98
308,berdigestyakh,80,RU,1541250506,67,62.1,126.7,10.09,10.89
309,hinton,32,CA,1541250507,80,53.4,-117.57,29.89,4.29
310,muisne,64,EC,1541250507,93,0.61,-80.02,72.77,6.91
311,mehamn,92,NO,1541250507,94,71.03,27.85,32.77,3.89
312,christchurch,64,NZ,1541248200,58,-43.53,172.64,55.4,10.29
313,baghdad,75,IQ,1541250000,46,33.3,44.38,73.4,5.82
314,inhambane,75,MZ,1541246400,44,-23.87,35.38,77.0,17.22
315,dunda,92,IN,1541250508,100,30.62,78.32,40.24,1.39
316,puerto colombia,75,CO,1541246400,94,10.99,-74.96,77.0,3.62
317,emerald,0,AU,1541250433,51,-23.53,148.16,73.94,11.45
318,ilulissat,40,GL,1541249400,72,69.22,-51.1,14.0,19.46
319,bilibino,88,RU,1541250509,79,68.06,166.44,0.82,2.73
320,oudtshoorn,56,ZA,1541246400,30,-33.59,22.2,80.6,9.17
321,naze,75,NG,1541246400,66,5.43,7.07,89.6,5.82
322,nanortalik,0,GL,1541250509,98,60.14,-45.24,31.24,15.19
323,gorontalo,64,ID,1541250510,95,0.54,123.06,75.2,1.83
324,cabadiangan,75,PH,1541250000,78,10.45,123.98,82.4,3.36
325,oum hadjer,0,TD,1541250510,22,13.3,19.7,99.64,7.09
326,negara,76,ID,1541250510,93,-8.36,114.62,79.07,6.13
327,hanzhong,92,CN,1541250510,65,33.08,107.03,52.97,2.1
328,salinas,1,US,1541248500,70,36.67,-121.66,50.0,3.74
329,meadow lake,90,CA,1541246400,86,54.13,-108.44,26.6,5.82
330,nikolskoye,40,RU,1541248200,81,59.7,30.79,50.0,13.42
331,beatrice,90,US,1541249700,93,40.27,-96.75,44.6,8.05
332,venice,20,US,1541248500,82,27.1,-82.45,66.02,12.75
333,tubuala,75,PA,1541250000,100,9.52,-79.03,77.0,2.24
334,kyren,8,RU,1541250512,69,51.68,102.13,-4.86,2.1
335,kansanshi,24,ZM,1541250512,86,-12.1,26.43,74.44,6.64
336,nome,1,US,1541249700,88,30.04,-94.42,55.94,4.7
337,ambon,0,FR,1541248200,47,47.55,-2.56,55.4,6.93
338,leshukonskoye,92,RU,1541250513,98,64.9,45.76,34.07,5.41
339,evanston,1,US,1541248500,94,42.04,-87.69,35.96,6.08
340,geraldton,90,CA,1541246400,92,49.72,-86.95,28.4,3.11
341,ixtapa,90,MX,1541245740,100,20.71,-105.21,73.4,3.36
342,ialibu,76,PG,1541250514,98,-6.28,143.99,57.38,2.1
343,bastia,40,IT,1541247600,63,44.6,8.98,64.4,9.17
344,gat,0,SN,1541246400,23,14.69,-16.54,96.8,6.93
345,tiksi,0,RU,1541250514,57,71.64,128.87,-12.06,6.24
346,novyy urengoy,8,RU,1541250515,86,66.08,76.63,18.1,20.85
347,khakhea,0,BW,1541250515,20,-24.69,23.5,91.67,14.63
348,sereflikochisar,0,TR,1541250515,57,38.94,33.54,62.51,4.34
349,anadyr,20,RU,1541246400,92,64.73,177.51,23.0,4.47
350,irbeyskoye,68,RU,1541250516,63,55.64,95.45,29.48,16.2
351,hambantota,64,LK,1541250516,100,6.12,81.12,79.79,7.65
352,lucapa,88,AO,1541250516,90,-8.42,20.74,74.8,4.23
353,te anau,64,NZ,1541250516,96,-45.41,167.72,39.2,8.93
354,tazovskiy,68,RU,1541250518,83,67.47,78.7,17.65,23.24
355,alofi,0,NU,1541246400,56,-19.06,-169.92,71.6,13.87
356,lexington park,40,US,1541249700,87,38.26,-76.45,51.8,9.17
357,sisimiut,76,GL,1541250518,100,66.94,-53.67,18.5,5.3
358,uruacu,80,BR,1541250520,89,-14.52,-49.14,76.82,4.34
359,nantucket,90,US,1541249340,96,41.28,-70.1,64.4,11.41
360,hokitika,64,NZ,1541250520,100,-42.72,170.96,50.45,18.1
361,tuatapere,32,NZ,1541250521,100,-46.13,167.69,46.4,21.41
362,fort nelson,75,CA,1541246400,84,58.81,-122.69,6.8,2.24
363,rawson,0,AR,1541250525,78,-43.3,-65.11,56.66,5.79
364,thiruvananthapuram,75,IN,1541248200,78,8.48,76.92,82.4,3.36
365,sinegorye,80,RU,1541250525,81,62.09,150.53,1.04,2.77
366,marsa matruh,20,EG,1541246400,65,31.35,27.25,77.0,11.41
367,torbay,90,CA,1541246880,100,47.66,-52.73,42.8,9.17
368,shepsi,0,RU,1541250527,99,44.04,39.15,66.29,4.74
369,brigantine,90,US,1541249760,83,39.41,-74.36,55.94,17.22
370,ishigaki,8,JP,1541250527,99,24.34,124.16,78.44,10.56
371,taoudenni,0,ML,1541250527,30,22.68,-3.98,79.97,13.18
372,vozdvizhenka,44,RU,1541250529,83,56.12,60.78,35.2,6.02
373,las cruces,0,CL,1541250000,77,-33.5,-71.62,60.8,4.7
374,faya,40,SA,1541246400,39,18.39,42.45,71.6,12.75
375,leningradskiy,68,RU,1541250529,100,69.38,178.42,18.68,6.53
376,bandarbeyla,68,SO,1541250530,100,9.49,50.81,79.57,16.87
377,amapa,40,HN,1541250000,88,15.09,-87.97,77.0,4.7
378,shubarkuduk,68,KZ,1541250530,57,49.15,56.49,41.77,11.05
379,taos,90,US,1541249760,81,36.41,-105.57,35.96,18.34
380,saint-pierre,0,FR,1541248200,76,48.95,4.24,53.6,8.05
381,tahe,12,CN,1541250531,63,52.34,124.71,15.08,4.23
382,bar harbor,90,US,1541248860,92,44.39,-68.2,46.04,8.05
383,kaihua,24,CN,1541250534,96,29.14,118.41,55.94,2.51
384,port-cartier,90,CA,1541248140,100,50.03,-66.88,33.8,11.41
385,mahanoro,36,MG,1541250534,67,-19.9,48.8,81.32,5.75
